Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2067 259.1373 29.10396 -4.832611 0 -4.748763 0 -4.759181 0 -4.71272 0 0 0 51.65366 51.65366 NA 181 
2068 280.7678 29.9055 -3.958495 0 -3.870849 0 -3.894532 0 -3.840442 0 0 0 56.63736 56.63736 NA 220 
2069 283.8585 28.99281 -3.542381 0 -3.464096 0 -3.462147 0 -3.424953 0 0 0 59.87391 59.87391 NA 210 
2070 264.7183 29.17853 -3.837876 0 -3.799295 0 -3.801388 0 -3.780005 0 0 0 57.50331 57.50331 NA 172 
2071 292.2591 29.94757 -4.153758 0 -4.12611 0 -4.144995 0 -4.112286 0 0 0 55.34214 55.34214 NA 232 
2072 346.1743 33.27943 -3.41567 0 -3.311198 0 -3.269561 0 -3.258962 0 0 0 61.0161 61.0161 NA 216 
2073 343.301 34.15326 -3.313455 0 -3.174133 0 -3.128749 0 -3.107322 0 0 0 62.00114 62.00114 NA 223 
2074 280.6769 29.41093 -4.123662 0 -4.087977 0 -4.122085 0 -4.070656 0 0 0 55.53378 55.53378 NA 198 
2075 273.8202 28.58833 -3.890676 0 -3.826908 0 -3.838766 0 -3.795028 0 0 0 57.11764 57.11764 NA 176 
2076 313.0632 31.56236 -3.965832 0 -3.917833 0 -3.929502 0 -3.893834 0 0 0 56.58639 56.58639 NA 217 
2077 301.6079 30.8522 -3.812601 0 -3.771458 0 -3.790564 0 -3.750887 0 0 0 57.6917 57.6917 NA 198 
2078 318.6964 33.0277 -2.976787 0 -2.829729 0 -2.79234 0 -2.759358 0 0 0 65.49488 65.49488 NA 234 
2079 271.8584 30.0126 -4.153243 0 -4.134946 0 -4.171364 0 -4.126072 0 0 0 55.3454 55.3454 NA 206 
2080 269.2663 28.68643 -3.635417 0 -3.596025 0 -3.591446 0 -3.576329 0 0 0 59.08596 59.08596 NA 221 
2081 320.8298 31.38155 -2.92483 0 -2.741226 0 -2.695373 0 -2.657813 0 0 0 65.61689 65.61689 NA 255 
2082 325.6338 32.50927 -2.707681 0 -2.377271 0 -2.263804 0 -2.214561 0 0 0 66.12853 66.12853 NA NA 
2083 313.0139 31.70145 -2.830504 0 -2.575012 0 -2.510258 0 -2.450946 0 0 0 65.83881 65.83881 NA NA 
2084 330.1792 32.5367 -2.30301 0 -1.67954 0 -1.394549 0 -1.367805 0 0 0 67.08907 67.08907 NA NA 
2085 334.7375 31.97779 -2.549926 0 -2.12362 0 -1.968948 0 -1.928134 0 0 0 66.50191 66.50191 NA NA 
2086 241.7693 30.1405 -5.665802 0 -5.647584 0 -5.684464 0 -5.640899 0 28.8455 28.68115 39.94514 34.91241 NA 186 
2087 288.0532 30.53988 -5.065411 0 -5.021049 0 -5.082623 0 -5.000152 0 0 0 50.61642 50.61642 NA 193 
2088 288.1145 31.25104 -3.856316 0 -3.813017 0 -3.82423 0 -3.791367 0 0 0 57.36741 57.36741 NA 207 
2089 325.7987 31.77645 -2.845054 0 -2.56829 0 -2.49731 0 -2.464143 0 0 0 65.80454 65.80454 NA NA 
2090 316.6428 30.21988 -3.047212 0 -2.933744 0 -2.908947 0 -2.877549 0 0 0 64.87714 64.87714 NA 271 
2091 319.6408 31.33721 -3.51777 0 -3.409927 0 -3.368035 0 -3.359891 0 0 0 60.08931 60.08931 NA 204 
2092 305.3469 31.01502 -3.349424 0 -3.264205 0 -3.213104 0 -3.221595 0 0 0 61.64764 61.64764 NA 202 
2093 279.6082 29.39066 -4.276694 0 -4.224362 0 -4.270132 0 -4.198196 0 0 0 54.58736 54.58736 NA 198 
2094 309.2782 30.47223 -3.08453 0 -2.932505 0 -2.926383 0 -2.856493 0 0 0 64.44411 64.44411 NA 221 
2095 313.6179 31.39911 -4.560407 0 -4.522363 0 -4.561215 0 -4.50334 0 0 0 53.00077 53.00077 NA 188 
2096 355.5402 33.78829 -2.551905 0 -2.201996 0 -2.092346 0 -2.095177 0 0 0 66.49721 66.49721 NA NA 
2097 265.0666 29.17209 -4.764166 0 -4.709326 0 -4.721627 0 -4.681906 0 0 0 51.9779 51.9779 NA 193 
2098 311.8787 32.65978 -2.8977 0 -2.713856 0 -2.660499 0 -2.625641 0 0 0 65.68067 65.68067 NA 193 
2099 314.4237 32.3573 -3.781714 0 -3.735456 0 -3.73964 0 -3.717107 0 0 0 57.92535 57.92535 NA 226 
2100 305.8222 30.96618 -4.109104 0 -4.033164 0 -4.048671 0 -4.007882 0 0 0 55.62748 55.62748 NA 205 
