Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2063 359.5929 33.59591 -2.782617 0 -2.642678 0 -2.625346 0 -2.608095 0 0 0 90.70312 90.70312 NA NA 
2064 304.6968 29.89421 -3.727592 0 -3.685703 0 -3.703515 0 -3.664758 0 0 0 80.24046 80.24046 NA 257 
2065 333.7274 33.29119 -4.62298 0 -4.575767 0 -4.641907 0 -4.552161 0 0 0 72.44661 72.44661 NA 218 
2066 315.3348 32.78101 -3.837203 0 -3.638532 0 -3.591281 0 -3.539197 0 0 0 79.09097 79.09097 NA 189 
2067 307.9231 30.74573 -3.802959 0 -3.739789 0 -3.776687 0 -3.715965 0 0 0 79.44297 79.44297 NA 217 
2068 305.167 31.28496 -4.184246 0 -4.125869 0 -4.146194 0 -4.09668 0 0 0 75.84875 75.84875 NA 199 
2069 246.4088 26.30017 -4.836814 0 -4.820937 0 -4.852822 0 -4.813763 0 0 0 71.01215 71.01215 NA 194 
2070 231.6707 29.23968 -6.773034 0 -6.746396 0 -6.805599 0 -6.721219 0 60.24478 59.51901 38.04874 24.93674 NA 201 
2071 276.7565 31.17242 -4.700594 0 -4.388676 0 -4.450503 0 -4.362636 0 0 0 71.91086 71.91086 NA 143 
2072 321.4174 31.32864 -4.275041 0 -4.225735 0 -4.259721 0 -4.205328 0 0 0 75.08738 75.08738 NA 231 
2073 384.2911 35.49324 -3.080176 0 -2.956405 0 -2.960421 0 -2.894712 0 0 0 88.69852 88.69852 NA 236 
2074 292.1671 29.04467 -5.927653 0 -5.778257 0 -5.845 0 -5.766367 0 0 0 65.30512 65.30512 NA 196 
